feature1,feature2,true_label,predicted_label,true_label_processed,predicted_label_processed
0.056765914,0.05551259,1.0,0,1,0
0.056765914,0.0884611,1.0,0,1,0
0.072250165,0.114559524,1.0,0,1,0
0.30769202,0.13380787,1.0,0,1,0
0.052633975,0.14620611,1.0,0,1,0
0.12806915,0.15175427,1.0,0,1,0
0.1186619,0.1404628,1.0,0,1,0
0.22570302,0.12119347,0.0,0,1,1
0.10907233,0.11665246,0.0,0,1,1
0.09079343,0.12565725,0.0,0,1,1
0.06254432,0.14923531,0.0,0,1,1
0.097314924,0.1638998,0.0,0,1,1
0.33034608,0.18491438,0.0,0,1,1
0.23001364,0.20195498,0.0,0,1,1
0.19661388,0.21198931,0.0,0,1,1
0.2732939,0.21809648,0.0,0,1,1
0.12003298,0.22027647,1.0,0,1,0
0.19641052,0.2185293,1.0,1,0,0
0.2729545,0.21285495,1.0,1,0,0
0.16442724,0.20465063,1.0,1,0,0
0.16442724,0.18803146,1.0,1,0,0
0.22509634,0.17420389,1.0,1,0,0
0.2852039,0.1631679,1.0,1,0,0
0.019957822,0.15492348,1.0,1,0,0
0.23613022,0.14947067,0.0,1,0,1
0.19734128,0.13326576,0.0,0,1,1
0.019075243,0.1271249,0.0,0,1,1
0.06965481,0.14420985,0.0,0,1,1
0.23463628,0.1575437,0.0,0,1,1
0.14221393,0.1799311,0.0,0,1,1
0.26086444,0.20109564,0.0,0,1,1
0.30221087,0.22592326,1.0,1,0,0
0.20994635,0.25441393,1.0,1,0,0
0.14531842,0.2865677,1.0,1,0,0
0.49338856,0.32238454,1.0,1,0,0
0.2718347,0.24600048,1.0,1,0,0
0.2718347,0.24878804,1.0,1,0,0
0.13004385,0.25031683,1.0,1,0,0
0.3140899,0.2505868,1.0,1,0,0
0.27869385,0.24959803,1.0,1,0,0
0.22149846,0.24735045,1.0,1,0,0
0.19402757,0.25270337,1.0,1,0,0
0.3405449,0.24506581,1.0,1,0,0
0.16806792,0.23466162,1.0,1,0,0
0.29800135,0.21838099,1.0,1,0,0
0.14943081,0.19789524,1.0,1,0,0
0.19009256,0.17482246,0.0,0,1,1
0.16195922,0.15894881,0.0,0,1,1
0.14503044,0.15953538,0.0,0,1,1
0.11113376,0.16794443,0.0,0,1,1
0.19009256,0.17482246,0.0,0,1,1
0.16195922,0.15894881,0.0,0,1,1
0.14503044,0.15953538,0.0,0,1,1
0.11113376,0.16794443,0.0,0,1,1
0.1313635,0.18417597,0.0,1,0,1
0.32539713,0.20822999,1.0,1,0,1
0.18270995,0.2401065,1.0,1,0,1
