Epoch,Train_Loss,Val_Loss,Val_Acc
187,0.2185,0.3738,84.80%
188,0.2191,0.3731,84.75%
189,0.2188,0.3738,84.80%
190,0.2187,0.3728,84.78%
191,0.2205,0.3712,84.83%
192,0.2203,0.3717,84.81%
193,0.2186,0.3760,84.78%
194,0.2181,0.3742,84.80%
195,0.2194,0.3706,84.85%
196,0.2200,0.3734,84.82%
197,0.2183,0.3741,84.77%
198,0.2197,0.3751,84.77%
199,0.2186,0.3722,84.82%
200,0.2179,0.3719,84.86%
