X,Y,Diffusion Coefficient
0.07856821202750862,-0.5499922075571313,1.0
-0.22275420141512114,-0.12715189794003406,1.0
-0.36234504524967137,-0.08023440116181897,1.0
-0.43009580790323954,-0.14418450629789095,1.0
-0.5165190978839649,-0.2439738461677594,1.0
-0.3709437014130562,-0.11830383066055941,0.5
-0.35670923528156334,-0.10140397408010249,0.5
-0.34110231605495683,-0.17510392952027592,0.5
-0.415617856619972,-0.17994490544589634,0.5
-0.5246482911346521,-0.19592675822262737,0.5
-0.5763485369832427,-0.3159412115450466,0.5
-0.5567948733362247,-0.2472969001191705,0.5
-0.46702476934051756,-0.19377276081230052,0.5
-0.46085009467125315,-0.165087063774784,0.5
-0.29247932236987917,-0.7233400484971279,1.0
-0.5298295557730635,-0.6403171757486844,1.0
-0.3541966192349517,-0.12929670070303556,1.0
0.07060002088902528,0.6198983857271343,1.0
0.251262332885856,1.3106311386093235,1.0
0.14916748268037128,1.3243222282741773,1.0
