X,Y,Diffusion Coefficient
0.11913052886792672,-0.25112009489323095,1.0
-0.042611930621986704,-0.6307612017891865,1.0
-0.07000659957268413,-1.1251210164022254,1.0
-0.19857425722530694,-1.8226312070491366,1.0
-0.15555024100443066,-1.7406165960919728,1.0
-0.05017161153628616,-1.7665326472700913,0.5
-0.12910192946939322,-1.827009236912905,0.5
-0.15457130028824953,-1.8960593238202066,0.5
-0.1626281892494597,-1.8401753171235955,0.5
-0.09198782866769198,-1.7856241956275538,0.5
-0.12235174974305821,-1.6074503622112246,1.0
-0.42666786906068477,-1.8950480030632773,1.0
-0.5832289827125307,-2.3088486583928614,1.0
-0.7534148342645182,-2.033316406468331,1.0
-0.4748483681024324,-2.2873290672924593,1.0
