X,Y,Diffusion Coefficient
0.03647220388963747,0.05874954736558118,0.5
0.1169790120706259,0.01951820895519541,0.5
-0.07604668954106007,0.019176452466332945,0.5
-0.05756433511599147,-0.03724037741011656,0.5
-0.1649787956871037,-0.02572720371490246,0.5
-0.18090315068618765,-0.029043258024876773,1.0
-0.4030484964050165,0.27504924635150035,1.0
-0.8838267482314293,-0.19979874859116398,1.0
-0.259632820922303,-0.01931636986976279,1.0
-0.3908680708157734,-0.8433176125733866,1.0
-0.8536186893795243,-0.9903019714589483,1.0
-0.7724416607897487,-1.3471951939037097,1.0
-0.6937652224971507,-1.4214016494698134,0.5
-0.6712794669052176,-1.3307190494672274,0.5
-0.6651671243518157,-1.2967176236614184,0.5
-0.6461700480947709,-1.23494262514809,0.5
-0.7004002632605152,-1.1075090844726996,0.5
