X,Y,Diffusion Coefficient
-0.6203412069333363,0.3670782711606264,1.0
-0.6139390618648704,0.17643055253547532,1.0
-1.004615944029202,0.1803809459746683,1.0
-1.2548121654091655,0.7782293112152818,1.0
-1.2296968894465659,1.1743076310626908,1.0
-1.1243009538674236,0.8206766295925897,1.0
-1.3379732911744722,1.1306014318745679,1.0
-1.2325996220908522,1.2044067919776353,0.5
-1.2880861989273837,1.1818658540478089,0.5
-1.4068527338279848,1.0817845278453797,0.5
-1.4336807339137287,1.042803187241623,0.5
-1.5224926635618943,1.1341610434785976,0.5
-1.7975394166645278,0.7880455631658249,1.0
-1.581776778899907,0.5387036124775404,1.0
-1.0414618201575772,0.9503880403715566,1.0
