X,Y,Diffusion Coefficient
0.0022579181846109813,0.05904656068291394,0.5
0.12516163179311748,-0.04245900612901638,0.5
0.025497229780138853,-0.06602364982943539,0.5
0.022203791229344867,0.0349317291246785,0.5
0.03560063002881627,0.05644295717770879,0.5
-0.06704266698012518,0.07598698054483025,0.5
-0.14083685110877267,0.1513897054776478,0.5
0.0008409286334757626,-0.4467682490318832,1.0
-0.004781565562060646,-0.5431500712700384,1.0
0.2325171264497259,-0.5787254445686936,1.0
0.4427546443402077,-0.9646530286642954,1.0
0.036900531691224925,-1.0457512443011105,1.0
0.4490423246464764,-0.8571651016605455,1.0
0.30417359040687403,-0.99865924549798,1.0
0.11294774901410459,-1.4700342404357392,1.0
0.13758489423355819,-0.7925555563136278,1.0
0.10756613980252974,-0.8655898721848281,0.5
0.051188493043118295,-0.895276226194419,0.5
0.02543114465695753,-0.8943613988013608,0.5
0.034976062338971735,-0.8703339019984149,0.5
