X,Y,Diffusion Coefficient
-0.19410385270524672,0.22421276697607995,1.0
0.3772284438524009,0.8170687458272874,1.0
-0.0784795142218137,1.1316590101958108,1.0
0.3171077341861592,1.2385018604011988,1.0
0.46198142616647314,1.4171764052164435,1.0
0.4465412888826807,1.499308717795054,0.5
0.38795276370894755,1.4826592848632993,0.5
0.310715608576994,1.47692893539521,0.5
0.280683114862598,1.4902716098335185,0.5
0.3060130107196176,1.6744479478363619,0.5
0.567668975895275,2.4838311574257874,1.0
0.3599575303952497,2.735547490741435,1.0
0.4473449991939585,2.9956028220793254,1.0
0.8072716258539828,3.143561427110672,1.0
0.7584463894211589,3.367093536612343,1.0
0.5408416283537834,2.974057610517887,1.0
0.46672751850256533,2.9235863977107104,1.0
0.5283113571881104,2.9110162379925324,0.5
0.521922683949809,2.918882730511063,0.5
0.4844045990818771,3.030445176313442,0.5
0.6388408119586896,2.975554852918045,0.5
0.5778328442522779,2.941754474289938,0.5
0.5866629126979986,2.9070094761896,0.5
0.5271401887344941,2.894557708144098,0.5
0.48751192384791103,2.8952352733367563,0.5
0.3932128441095728,2.9627232275494277,0.5
0.3795987190277066,2.896066125236577,0.5
