X,Y,Diffusion Coefficient
0.030735473352285877,0.09068681189243988,0.5
0.07419626468784495,0.1504532546158317,0.5
0.10883314235747052,0.11702314751591171,0.5
0.009128835534136362,0.08686346047726348,0.5
0.07777602771324556,-0.043169849877955996,0.5
-0.44217581591387956,-0.6658661514688878,1.0
-0.46304639109787693,-0.7636376759453709,1.0
-0.5812253228930409,-0.47495901807510493,1.0
-0.5625040732623041,-0.3583576903244009,1.0
-0.38485119256347966,-0.45259211952169504,1.0
-0.4226987242522604,-0.35281270400942255,0.5
-0.4775206750311437,-0.26507435477637475,0.5
-0.36933490204907315,-0.33235514437054153,0.5
-0.2644196186764592,-0.4216420693071398,0.5
