X,Y,Diffusion Coefficient
0.010533318922672289,-0.22697213889829576,1.0
-0.16893518643627542,-0.22784392007752693,1.0
-0.06433537847864282,-0.40729316184441267,1.0
0.09027661971061685,-0.3848777792633721,1.0
0.3870122748922366,-0.43750449136789427,1.0
0.4735533246624321,-0.5565523758636708,0.5
0.4736216523542091,-0.5370670016000226,0.5
0.5204304735488338,-0.5074720277269693,0.5
0.5305118726399805,-0.49151404405624693,0.5
0.5438540873261419,-0.4709077850657686,0.5
0.20851107886411563,-0.5856721391869433,1.0
-0.0720418703710603,-0.3536879526586577,1.0
-0.1604678183202649,-0.3286466022084688,1.0
-0.1649215185781136,-0.46772991972612266,1.0
0.23541129203930444,-0.5493149835246709,1.0
0.24274016180037317,-0.7928104443076976,1.0
0.5346323550379997,-1.4580107438795458,1.0
