X,Y,Diffusion Coefficient
0.047477836031857235,-0.10060131826516051,0.5
-0.005509377193529785,-0.1121064474073714,0.5
0.05936682051575283,-0.08474556505876064,0.5
0.04826158306484814,-0.02260062583108588,0.5
0.11648043939945459,-0.023059106975547045,0.5
0.09377767159964616,-0.031080281763493395,0.5
0.10908715930803248,-0.07520352271445944,0.5
-0.318294970463544,-0.08846948823103366,1.0
0.19107122471435428,-0.37173170913728965,1.0
-0.06268641747660308,-0.3204282045435324,1.0
-0.466577148274412,0.1221376416635861,1.0
-0.8178231691989539,-0.38836289720194106,1.0
-1.1689536793180455,-0.4472654196480509,1.0
-1.0102694741004221,-0.8950880748797074,1.0
-1.021268938785431,-0.919072804429393,0.5
-0.9542255219585702,-0.9572886808833584,0.5
-0.9681476534789618,-0.9221634461165762,0.5
-1.0295286342816827,-0.9545445544356377,0.5
-1.0598994861728264,-1.002395449520532,0.5
-1.5019524013560397,-0.7632168474195373,1.0
-1.253431836754986,-0.6838721886719944,1.0
-1.383607360422122,-0.4756249068592197,1.0
-1.2702043528784017,-0.30695052865655603,1.0
