X,Y,Diffusion Coefficient
0.07931763189098068,-0.10788228625269056,1.0
0.31721777562925496,-0.40938950805247865,1.0
0.030796541521982634,-1.0713864353365514,1.0
-0.29952321517391967,-1.2842938374304014,1.0
-0.2169160708399604,-1.3340395337433795,1.0
-0.37068358653491346,-0.7245466886101226,1.0
-0.7171890804051473,-0.9286603169837051,1.0
-0.873036972943485,-0.2900428099335578,1.0
-0.7831379558885405,-0.4141365044540565,1.0
-0.5880111205592825,-0.7235245824944512,1.0
-0.9543340730772605,-0.8395908761686355,1.0
-1.774555215464074,-0.7493604314285853,1.0
-1.7949979303859305,-0.9241938109704659,1.0
-1.8598126891896392,-0.825137990254081,0.5
-1.839636721990465,-0.8045011269655084,0.5
-1.8389573120982683,-0.8017914200244155,0.5
-1.872096036541545,-0.8239539017585181,0.5
-1.8387455446278425,-0.8189853607495693,0.5
-1.9973594398400023,-0.14725809287704938,1.0
-2.0945640727703085,0.16180762863603182,1.0
-1.9402147462364607,0.23564526591064788,1.0
