X,Y,Diffusion Coefficient
0.06855999103254808,-0.011887337606620032,0.5
0.12061299675827274,0.03241382018131114,0.5
0.025860471885412045,-0.10815980609241144,0.5
-0.07925645304936654,-0.11711721623409455,0.5
-0.12634391324959066,-0.08970798539580842,0.5
-0.08342677643197492,-0.06763023610369126,0.5
-0.062239208474101346,-0.05865788734387131,0.5
-0.15817551835427313,-0.09688563152754018,1.0
-0.5655743792148002,-0.06924937230028824,1.0
-0.8618991976034744,0.35324065337236465,1.0
-0.9276836270116355,0.046731215226985034,1.0
-0.814596044162997,-0.3966918563738517,1.0
-0.4627740946098045,-0.4495777116534662,1.0
-0.30325301311729147,-0.8938208746097374,1.0
-0.21576966726506674,-0.876883852770229,0.5
-0.2813824742827884,-0.8119121907667501,0.5
-0.24666878716961071,-0.7254285691433731,0.5
-0.2614853376155695,-0.7549108826689062,0.5
